"Date"	"United.States"	"Georgia"	"Atlanta"	"flu_high"
2013-03-04	NA	NA	NA	NA
2013-03-05	NA	NA	NA	NA
2013-03-06	NA	NA	NA	NA
2013-03-07	NA	NA	NA	NA
2013-03-08	NA	NA	NA	NA
2013-03-09	NA	NA	NA	NA
2013-03-10	3242	4177	4513	"High"
2013-03-11	NA	NA	NA	NA
2013-03-12	NA	NA	NA	NA
2013-03-13	NA	NA	NA	NA
2013-03-14	NA	NA	NA	NA
2013-03-15	NA	NA	NA	NA
2013-03-16	NA	NA	NA	NA
2013-03-17	2894	3572	3869	"High"
2013-03-18	NA	NA	NA	NA
2013-03-19	NA	NA	NA	NA
2013-03-20	NA	NA	NA	NA
2013-03-21	NA	NA	NA	NA
2013-03-22	NA	NA	NA	NA
2013-03-23	NA	NA	NA	NA
2013-03-24	2673	3288	3234	"Low"
2013-03-25	NA	NA	NA	NA
2013-03-26	NA	NA	NA	NA
2013-03-27	NA	NA	NA	NA
2013-03-28	NA	NA	NA	NA
2013-03-29	NA	NA	NA	NA
2013-03-30	NA	NA	NA	NA
2013-03-31	2482	3085	3080	"Low"
2013-04-01	NA	NA	NA	NA
2013-04-02	NA	NA	NA	NA
2013-04-03	NA	NA	NA	NA
2013-04-04	NA	NA	NA	NA
2013-04-05	NA	NA	NA	NA
2013-04-06	NA	NA	NA	NA
2013-04-07	2121	2141	2298	"Low"
2013-04-08	NA	NA	NA	NA
2013-04-09	NA	NA	NA	NA
2013-04-10	NA	NA	NA	NA
2013-04-11	NA	NA	NA	NA
2013-04-12	NA	NA	NA	NA
2013-04-13	NA	NA	NA	NA
2013-04-14	1747	1535	1746	"Low"
2013-04-15	NA	NA	NA	NA
2013-04-16	NA	NA	NA	NA
2013-04-17	NA	NA	NA	NA
2013-04-18	NA	NA	NA	NA
2013-04-19	NA	NA	NA	NA
2013-04-20	NA	NA	NA	NA
2013-04-21	1681	1433	1664	"Low"
2013-04-22	NA	NA	NA	NA
2013-04-23	NA	NA	NA	NA
2013-04-24	NA	NA	NA	NA
2013-04-25	NA	NA	NA	NA
2013-04-26	NA	NA	NA	NA
2013-04-27	NA	NA	NA	NA
2013-04-28	1534	1343	1469	"Low"
2013-04-29	NA	NA	NA	NA
2013-04-30	NA	NA	NA	NA
2013-05-01	NA	NA	NA	NA
2013-05-02	NA	NA	NA	NA
2013-05-03	NA	NA	NA	NA
2013-05-04	NA	NA	NA	NA
2013-05-05	1438	1259	1376	"Low"
2013-05-06	NA	NA	NA	NA
2013-05-07	NA	NA	NA	NA
2013-05-08	NA	NA	NA	NA
2013-05-09	NA	NA	NA	NA
2013-05-10	NA	NA	NA	NA
2013-05-11	NA	NA	NA	NA
2013-05-12	1286	1112	1237	"Low"
2013-05-13	NA	NA	NA	NA
2013-05-14	NA	NA	NA	NA
2013-05-15	NA	NA	NA	NA
2013-05-16	NA	NA	NA	NA
2013-05-17	NA	NA	NA	NA
2013-05-18	NA	NA	NA	NA
2013-05-19	1165	916	1048	"Low"
2013-05-20	NA	NA	NA	NA
2013-05-21	NA	NA	NA	NA
2013-05-22	NA	NA	NA	NA
2013-05-23	NA	NA	NA	NA
2013-05-24	NA	NA	NA	NA
2013-05-25	NA	NA	NA	NA
2013-05-26	1149	894	952	"Low"
2013-05-27	NA	NA	NA	NA
2013-05-28	NA	NA	NA	NA
2013-05-29	NA	NA	NA	NA
2013-05-30	NA	NA	NA	NA
2013-05-31	NA	NA	NA	NA
2013-06-01	NA	NA	NA	NA
2013-06-02	1063	785	849	"Low"
2013-06-03	NA	NA	NA	NA
2013-06-04	NA	NA	NA	NA
2013-06-05	NA	NA	NA	NA
2013-06-06	NA	NA	NA	NA
2013-06-07	NA	NA	NA	NA
2013-06-08	NA	NA	NA	NA
2013-06-09	1024	725	805	"Low"
2013-06-10	NA	NA	NA	NA
2013-06-11	NA	NA	NA	NA
2013-06-12	NA	NA	NA	NA
2013-06-13	NA	NA	NA	NA
2013-06-14	NA	NA	NA	NA
2013-06-15	NA	NA	NA	NA
2013-06-16	997	731	799	"Low"
2013-06-17	NA	NA	NA	NA
2013-06-18	NA	NA	NA	NA
2013-06-19	NA	NA	NA	NA
2013-06-20	NA	NA	NA	NA
2013-06-21	NA	NA	NA	NA
2013-06-22	NA	NA	NA	NA
2013-06-23	966	688	791	"Low"
2013-06-24	NA	NA	NA	NA
2013-06-25	NA	NA	NA	NA
2013-06-26	NA	NA	NA	NA
2013-06-27	NA	NA	NA	NA
2013-06-28	NA	NA	NA	NA
2013-06-29	NA	NA	NA	NA
2013-06-30	925	667	723	"Low"
2013-07-01	NA	NA	NA	NA
2013-07-02	NA	NA	NA	NA
2013-07-03	NA	NA	NA	NA
2013-07-04	NA	NA	NA	NA
2013-07-05	NA	NA	NA	NA
2013-07-06	NA	NA	NA	NA
2013-07-07	941	733	818	"Low"
2013-07-08	NA	NA	NA	NA
2013-07-09	NA	NA	NA	NA
2013-07-10	NA	NA	NA	NA
2013-07-11	NA	NA	NA	NA
2013-07-12	NA	NA	NA	NA
2013-07-13	NA	NA	NA	NA
2013-07-14	907	714	793	"Low"
2013-07-15	NA	NA	NA	NA
2013-07-16	NA	NA	NA	NA
2013-07-17	NA	NA	NA	NA
2013-07-18	NA	NA	NA	NA
2013-07-19	NA	NA	NA	NA
2013-07-20	NA	NA	NA	NA
2013-07-21	956	805	923	"Low"
2013-07-22	NA	NA	NA	NA
2013-07-23	NA	NA	NA	NA
2013-07-24	NA	NA	NA	NA
2013-07-25	NA	NA	NA	NA
2013-07-26	NA	NA	NA	NA
2013-07-27	NA	NA	NA	NA
2013-07-28	850	554	567	"Low"
2013-07-29	NA	NA	NA	NA
2013-07-30	NA	NA	NA	NA
2013-07-31	NA	NA	NA	NA
2013-08-01	NA	NA	NA	NA
2013-08-02	NA	NA	NA	NA
2013-08-03	NA	NA	NA	NA
2013-08-04	869	547	614	"Low"
2013-08-05	NA	NA	NA	NA
2013-08-06	NA	NA	NA	NA
2013-08-07	NA	NA	NA	NA
2013-08-08	NA	NA	NA	NA
2013-08-09	NA	NA	NA	NA
2013-08-10	NA	NA	NA	NA
2013-08-11	907	544	641	"Low"
2013-08-12	NA	NA	NA	NA
2013-08-13	NA	NA	NA	NA
2013-08-14	NA	NA	NA	NA
2013-08-15	NA	NA	NA	NA
2013-08-16	NA	NA	NA	NA
2013-08-17	NA	NA	NA	NA
2013-08-18	952	858	940	"Low"
2013-08-19	NA	NA	NA	NA
2013-08-20	NA	NA	NA	NA
2013-08-21	NA	NA	NA	NA
2013-08-22	NA	NA	NA	NA
2013-08-23	NA	NA	NA	NA
2013-08-24	NA	NA	NA	NA
2013-08-25	977	920	987	"Low"
2013-08-26	NA	NA	NA	NA
2013-08-27	NA	NA	NA	NA
2013-08-28	NA	NA	NA	NA
2013-08-29	NA	NA	NA	NA
2013-08-30	NA	NA	NA	NA
2013-08-31	NA	NA	NA	NA
2013-09-01	1085	888	1158	"Low"
2013-09-02	NA	NA	NA	NA
2013-09-03	NA	NA	NA	NA
2013-09-04	NA	NA	NA	NA
2013-09-05	NA	NA	NA	NA
2013-09-06	NA	NA	NA	NA
2013-09-07	NA	NA	NA	NA
2013-09-08	1154	1046	1318	"Low"
2013-09-09	NA	NA	NA	NA
2013-09-10	NA	NA	NA	NA
2013-09-11	NA	NA	NA	NA
2013-09-12	NA	NA	NA	NA
2013-09-13	NA	NA	NA	NA
2013-09-14	NA	NA	NA	NA
2013-09-15	1259	931	1189	"Low"
2013-09-16	NA	NA	NA	NA
2013-09-17	NA	NA	NA	NA
2013-09-18	NA	NA	NA	NA
2013-09-19	NA	NA	NA	NA
2013-09-20	NA	NA	NA	NA
2013-09-21	NA	NA	NA	NA
2013-09-22	1350	1101	1209	"Low"
2013-09-23	NA	NA	NA	NA
2013-09-24	NA	NA	NA	NA
2013-09-25	NA	NA	NA	NA
2013-09-26	NA	NA	NA	NA
2013-09-27	NA	NA	NA	NA
2013-09-28	NA	NA	NA	NA
2013-09-29	1363	920	1016	"Low"
2013-09-30	NA	NA	NA	NA
2013-10-01	NA	NA	NA	NA
2013-10-02	NA	NA	NA	NA
2013-10-03	NA	NA	NA	NA
2013-10-04	NA	NA	NA	NA
2013-10-05	NA	NA	NA	NA
2013-10-06	1405	1129	1203	"Low"
2013-10-07	NA	NA	NA	NA
2013-10-08	NA	NA	NA	NA
2013-10-09	NA	NA	NA	NA
2013-10-10	NA	NA	NA	NA
2013-10-11	NA	NA	NA	NA
2013-10-12	NA	NA	NA	NA
2013-10-13	1354	1185	1224	"Low"
2013-10-14	NA	NA	NA	NA
2013-10-15	NA	NA	NA	NA
2013-10-16	NA	NA	NA	NA
2013-10-17	NA	NA	NA	NA
2013-10-18	NA	NA	NA	NA
2013-10-19	NA	NA	NA	NA
2013-10-20	1445	1313	1444	"Low"
2013-10-21	NA	NA	NA	NA
2013-10-22	NA	NA	NA	NA
2013-10-23	NA	NA	NA	NA
2013-10-24	NA	NA	NA	NA
2013-10-25	NA	NA	NA	NA
2013-10-26	NA	NA	NA	NA
2013-10-27	1460	1249	1133	"Low"
2013-10-28	NA	NA	NA	NA
2013-10-29	NA	NA	NA	NA
2013-10-30	NA	NA	NA	NA
2013-10-31	NA	NA	NA	NA
2013-11-01	NA	NA	NA	NA
2013-11-02	NA	NA	NA	NA
2013-11-03	1560	1387	1318	"Low"
2013-11-04	NA	NA	NA	NA
2013-11-05	NA	NA	NA	NA
2013-11-06	NA	NA	NA	NA
2013-11-07	NA	NA	NA	NA
2013-11-08	NA	NA	NA	NA
2013-11-09	NA	NA	NA	NA
2013-11-10	1628	1828	1816	"Low"
2013-11-11	NA	NA	NA	NA
2013-11-12	NA	NA	NA	NA
2013-11-13	NA	NA	NA	NA
2013-11-14	NA	NA	NA	NA
2013-11-15	NA	NA	NA	NA
2013-11-16	NA	NA	NA	NA
2013-11-17	1661	1895	2131	"Low"
2013-11-18	NA	NA	NA	NA
2013-11-19	NA	NA	NA	NA
2013-11-20	NA	NA	NA	NA
2013-11-21	NA	NA	NA	NA
2013-11-22	NA	NA	NA	NA
2013-11-23	NA	NA	NA	NA
2013-11-24	1708	2394	2377	"Low"
2013-11-25	NA	NA	NA	NA
2013-11-26	NA	NA	NA	NA
2013-11-27	NA	NA	NA	NA
2013-11-28	NA	NA	NA	NA
2013-11-29	NA	NA	NA	NA
2013-11-30	NA	NA	NA	NA
2013-12-01	2043	3002	3193	"Low"
2013-12-02	NA	NA	NA	NA
2013-12-03	NA	NA	NA	NA
2013-12-04	NA	NA	NA	NA
2013-12-05	NA	NA	NA	NA
2013-12-06	NA	NA	NA	NA
2013-12-07	NA	NA	NA	NA
2013-12-08	2238	2936	3076	"Low"
2013-12-09	NA	NA	NA	NA
2013-12-10	NA	NA	NA	NA
2013-12-11	NA	NA	NA	NA
2013-12-12	NA	NA	NA	NA
2013-12-13	NA	NA	NA	NA
2013-12-14	NA	NA	NA	NA
2013-12-15	3196	4826	5255	"High"
2013-12-16	NA	NA	NA	NA
2013-12-17	NA	NA	NA	NA
2013-12-18	NA	NA	NA	NA
2013-12-19	NA	NA	NA	NA
2013-12-20	NA	NA	NA	NA
2013-12-21	NA	NA	NA	NA
2013-12-22	4625	6227	5862	"High"
2013-12-23	NA	NA	NA	NA
2013-12-24	NA	NA	NA	NA
2013-12-25	NA	NA	NA	NA
2013-12-26	NA	NA	NA	NA
2013-12-27	NA	NA	NA	NA
2013-12-28	NA	NA	NA	NA
2013-12-29	5008	4835	4765	"High"
2013-12-30	NA	NA	NA	NA
2013-12-31	NA	NA	NA	NA
